,,,,,,,Def,Def,Def,Def,,-additional
Rk,Player,Int,Season▼,Age,G,GS,Int,Yds,IntTD,PD,Pos,-9999
140,Willie Williams,10,1968,26,14,14,10,103,0,,RCB,WillWi00
141,Kermit Alexander Jr.,9,1968,27,14,14,9,155,1,,RCB,AlexKe01
142,Dick Anderson,8,1968,22,14,12,8,230,1,,FS,AndeDi00
143,Bobby Boyd,8,1968,31,14,13,8,160,1,,LCB,BoydBo01
144,Ben Davis,8,1968,23,14,14,8,162,0,,RCB,DaviBe01
145,Spider Lockhart,8,1968,25,14,14,8,130,2,,FS,LockCa00
146,Brig Owens,8,1968,25,14,14,8,109,0,,SS,OwenBr20
147,Lem Barney,10,1967,22,14,14,10,232,3,,LCB,BarnLe00
148,Miller Farr,10,1967,24,14,14,10,264,3,,LCB,FarrMi01
149,Tom Janik,10,1967,27,14,10,10,222,2,,SS,JaniTo00
150,Dick Westmoreland,10,1967,26,14,14,10,127,1,,RCB/LCB,WestDi00
151,Dave Whitsell,10,1967,31,14,13,10,178,2,,RCB,WhitDa03
152,Bob Jeter,8,1967,30,14,14,8,78,0,,RCB,JeteBo00
153,Paul Krause,8,1967,25,13,12,8,75,0,,FS,KrauPa00
154,Eddie Meador,8,1967,30,14,14,8,103,2,,FS,MeadEd00
155,Bobby Hunt,10,1966,26,14,14,10,113,0,,SS,HuntBo00
156,Johnny Robinson,10,1966,28,14,14,10,136,1,,FS,RobiJo00
157,Larry Wilson,10,1966,28,14,14,10,180,2,,FS,WilsLa00
158,Ross Fichtner,8,1966,28,14,13,8,152,1,,SS,FichRo20
159,Mike Howell,8,1966,23,14,14,8,62,0,,RCB,HoweMi20
160,Tom Janik,8,1966,26,14,11,8,136,2,,LCB,JaniTo00
161,Joe Scarpati,8,1966,23,14,12,8,182,0,,FS,ScarJo21
162,Bobby Boyd,9,1965,28,14,14,9,78,1,,LCB,BoydBo01
163,W.K. Hicks,9,1965,23,14,14,9,156,0,,RCB,HickW.00
164,Paul Krause,12,1964,22,14,14,12,140,1,,FS,KrauPa00
165,Dainard Paulson,12,1964,27,14,14,12,157,1,,SS,PaulDa00
166,Ron Hall,11,1964,27,14,14,11,148,0,,FS,HallRo01
167,Pat Fischer,10,1964,24,14,14,10,164,2,,LCB,FiscPa00
168,Bobby Boyd,9,1964,27,14,12,9,185,0,,LCB,BoydBo01
169,Willie Brown,9,1964,24,14,14,9,140,0,,LCB,BrowWi01
170,Bill Baird,8,1964,25,14,14,8,130,1,,LCB/FS,BairBi20
171,Pete Jaquess,8,1964,24,14,14,8,141,1,,LCB,JaquPe00
172,Fred Glick,12,1963,26,14,14,12,180,1,,FS,GlicFr00
173,Dick Lynch,9,1963,27,14,14,9,251,3,,RCB,LyncDi00
174,Tommy Morrow,9,1963,25,14,12,9,104,0,,SS,MorrTo21
175,Rosey Taylor,9,1963,26,14,14,9,172,1,,FS,TaylRo00
176,Pat Fischer,8,1963,23,14,14,8,169,0,,LCB,FiscPa00
177,Dick Harris,8,1963,26,14,8,8,83,1,,RCB,HarrDi20
178,Richie Petitbon,8,1963,25,14,14,8,161,1,,SS,PetiRi00
179,Lee Riley,11,1962,30,14,13,11,122,0,,FS,RileLe20
180,Tommy Morrow,10,1962,24,14,14,10,141,0,,FS,MorrTo21
181,Willie Wood,9,1962,26,14,14,9,132,0,,FS,WoodWi00
182,Claude Gibson,8,1962,23,14,13,8,85,1,,LCB,GibsCl20
183,Bobby Hunt,8,1962,22,14,14,8,101,0,,SS,HuntBo00
184,Yale Lary,8,1962,32,14,14,8,51,0,,FS,LaryYa00
185,Jim Norton,8,1962,24,14,14,8,75,0,,FS,NortJi00
186,Billy Atkins,10,1961,27,14,14,10,158,0,,FS,AtkiBi00
187,Dick Lynch,9,1961,25,14,14,9,60,0,,RCB,LyncDi00
188,Charlie McNeil,9,1961,25,14,14,9,349,2,,FS,McNeCh00
189,Jim Norton,9,1961,23,14,14,9,150,0,,SS,NortJi00
190,Tony Banfield,8,1961,24,14,14,8,136,0,,LCB,BanfTo00
191,Don Bishop,8,1961,27,14,14,8,172,0,,RCB,BishDo00
192,Jimmy Patton,8,1961,28,14,14,8,163,1,,FS,PattJi00
193,Johnny Sample,8,1961,25,14,13,8,141,1,,RCB/LCB,SampJo20
194,Goose Gonsoulin,11,1960,22,14,14,11,98,0,,FS,GonsAu00
195,Dave Baker,10,1960,23,12,11,10,96,0,,SS,BakeDa00
196,Jerry Norton,10,1960,29,12,9,10,96,0,,SS,NortJe00
197,Don Burroughs,9,1960,29,12,10,9,124,0,,SS/FS,BurrDo20
198,Eddie Macon,9,1960,33,14,14,9,105,1,,LCB,MacoEd20
199,Bobby Franklin,8,1960,24,12,7,8,131,2,,FS,FranBo20
200,Archie Matsos,8,1960,26,14,14,8,142,1,,MLB,MatsAr00
,Jake Scott,8,1974,29,14,14,8,75,0,,FS,ScotJa01
,Mike Sensibaugh,8,1972,23,14,13,8,65,0,,FS,SensMi20
,Richard Sherman,8,2012,24,16,16,8,57,1,24,LCB,SherRi00
,Richard Sherman,8,2013,25,16,16,8,125,1,16,LCB,SherRi00
,Jim Shofner,8,1960,25,12,12,8,75,0,,RCB,ShofJi20
,Darius Slay,8,2017,26,16,16,8,73,0,26,LCB,SlayDa00
,Charlie Stukes,8,1971,28,14,14,8,95,0,,LCB,StukCh20
,Clendon Thomas,8,1963,28,13,10,8,122,0,,FS,ThomCl00
,Emmitt Thomas,8,1971,28,14,14,8,145,1,,RCB,ThomEm00
,Pat Thomas,8,1978,24,16,16,8,96,1,,LCB,ThomPa00
,Nathan Vasher,8,2005,24,16,15,8,145,1,16,RCB,VashNa99
,Mike Wagner,8,1973,24,14,14,8,134,0,,SS,WagnMi00
,Lionel Washington,8,1983,23,16,8,8,92,0,,LCB,WashLi20
,Willie West,8,1966,28,14,13,8,62,0,,SS,WestWi00
,Stan White,8,1975,26,14,14,8,135,1,,RLB,WhitSt20
,Clancy Williams,8,1966,24,14,14,8,97,1,,LCB,WillCl20
,Darryl Williams,8,1997,27,16,16,8,172,1,,FS,WillDa03
,Fred Williamson,8,1962,25,14,14,8,151,1,,LCB,WillFr02
,Charles Woodson,8,2006,30,16,16,8,61,1,20,LCB,WoodCh00
,Rod Woodson,8,2002,37,16,16,8,225,2,16,FS,WoodRo01
,Rod Woodson,8,1993,28,16,16,8,138,1,,LCB,WoodRo01
,Bob Zeman,8,1961,24,14,14,8,89,0,,SS,ZemaBo00
,Donnie Abraham,7,1999,26,16,16,7,115,2,25,LCB,AbraDo00
,Donnie Abraham,7,2000,27,16,16,7,82,0,23,LCB,AbraDo00
,Herb Adderley,7,1962,23,14,14,7,132,1,,LCB,AddeHe00
,Kyle Arrington,7,2011,25,16,14,7,92,0,15,RCB,ArriKy00
,Tony Banfield,7,1963,26,14,14,7,21,0,,LCB,BanfTo00
,Gary Barbaro,7,1979,25,16,16,7,142,1,,FS,BarbGa00
,Erich Barnes,7,1961,26,14,14,7,195,2,,LCB,BarnEr00
,Lem Barney,7,1968,23,14,14,7,82,0,,LCB,BarnLe00
,Lem Barney,7,1970,25,13,13,7,168,2,,LCB,BarnLe00
,Larry Benz,7,1963,22,14,14,7,114,0,,SS,BenzLa20
,Ron Bolton,7,1974,24,14,14,7,18,0,,RCB,BoltRo20
,Bobby Boyd,7,1960,23,11,11,7,132,0,,LCB,BoydBo01
,Bobby Boyd,7,1962,25,14,14,7,163,0,,LCB,BoydBo01
,Louis Breeden,7,1986,33,16,16,7,72,1,,LCB,BreeLo20
,Louis Breeden,7,1980,27,16,5,7,91,0,,LCB,BreeLo20
,Zack Bronson,7,2001,27,16,16,7,165,2,13,FS,BronZa20
,Joey Browner,7,1990,30,16,16,7,103,1,,SS,BrowJo00
,Willie Brown,7,1967,27,14,12,7,33,1,,RCB,BrowWi01
,Ross Brupbacher,7,1976,28,14,12,7,49,0,,LLB,BrupRo20
,Bobby Bryant,7,1978,34,16,16,7,69,0,,RCB,BryaBo01
,Bobby Bryant,7,1973,29,14,14,7,105,1,,RCB,BryaBo01
,Ray Buchanan,7,1998,27,16,16,7,102,0,,LCB,BuchRa00
,Don Burroughs,7,1961,30,13,10,7,90,0,,FS,BurrDo20
,Don Burroughs,7,1962,31,12,11,7,96,0,,FS,BurrDo20
,Butch Byrd,7,1964,23,14,14,7,178,1,,RCB,ByrdBu00
,Butch Byrd,7,1969,28,14,14,7,95,1,,RCB,ByrdBu00
,Gill Byrd,7,1988,27,16,16,7,82,0,,RCB,ByrdGi00
,Gill Byrd,7,1989,28,16,16,7,38,0,,LCB,ByrdGi00
,Gill Byrd,7,1990,29,16,16,7,63,0,,LCB,ByrdGi00
,Lee Calland,7,1970,29,14,14,7,38,0,,LCB/RCB,CallLe20
,Darren Carrington,7,1993,27,16,14,7,104,0,,SS,CarrDa20
,Dale Carter,7,1992,23,16,9,7,65,1,,RCB,CartDa00
,Jeremiah Castille,7,1985,24,16,16,7,49,0,,LCB,CastJe21
,Carl Charon,7,1962,22,14,13,7,131,1,,LCB,CharCa20
